Date,TGD20,D1,FlowDensity20,model
2024-07-23,0.348287845319292,0.4929829847386055,0.15872916994210237,C
2024-07-24,0.3322865747955875,0.5063597691249048,0.1613536560795077,C
2024-07-25,0.3298493712530928,0.5291541929725323,0.1409964357743748,C
2024-07-26,0.3177344442352652,0.5157698967648454,0.16649565899988944,C
2024-07-29,0.3164278999420668,0.5164477357610028,0.16712436429693048,C
2024-07-30,0.3277741140971011,0.5191985897068451,0.1530272961960538,C
2024-07-31,0.331088927936357,0.5027136054644546,0.16619746659918838,C
2024-08-01,0.3451172135877648,0.4991856300798151,0.15569715633241998,C
2024-08-02,0.34646636006539644,0.4837425156245221,0.16979112431008134,C
2024-08-05,0.34650431118533365,0.49655969197679023,0.15693599683787607,C
2024-08-06,0.34236857056930947,0.5047457754877566,0.1528856539429339,C
2024-08-07,0.34889257287958875,0.47996337247110205,0.17114405464930924,C
2024-08-08,0.3526602954471293,0.47859328596944267,0.168746418583428,C
2024-08-09,0.34165447903995005,0.4988644305556083,0.15948109040444164,C
2024-08-12,0.3349300559806394,0.5148519027375609,0.15021804128179964,C
2024-08-13,0.3232321884572406,0.5294118940263681,0.14735591751639132,C
2024-08-14,0.3241046111729314,0.5147467317810875,0.16114865704598122,C
2024-08-15,0.32614626151014803,0.5068734256253448,0.1669803128645073,C
2024-08-16,0.3232806602229521,0.5122679283164555,0.1644514114605923,C
2024-08-19,0.32841712283358493,0.5044509945924868,0.16713188257392833,C
2024-08-20,0.3299254556218535,0.5078717813182738,0.16220276305987272,C
2024-08-21,0.3257072413395675,0.5073162788125384,0.1669764798478941,C
2024-08-22,0.3228379097970193,0.5037363407156459,0.17342574948733483,C
2024-08-23,0.31604901997493995,0.5105935527495898,0.17335742727547018,C
2024-08-26,0.3226824892389771,0.5201327755238956,0.1571847352371273,C
2024-08-27,0.3199923581024601,0.5105568840655151,0.16945075783202485,C
2024-08-28,0.3138756618264555,0.5024116548977666,0.18371268327577786,C
2024-08-29,0.30467375065035157,0.47147527155181324,0.22385097779783517,C
2024-08-30,0.3044011430989043,0.4588649874358315,0.23673386946526426,C
2024-09-02,0.30928202618763034,0.4413310987349188,0.24938687507745078,C
2024-09-03,0.29485144761014737,0.45234799585488183,0.2528005565349708,C
2024-09-04,0.30823854983545435,0.4466588940977702,0.24510255606677542,C
2024-09-05,0.31385918805988017,0.45513875136082593,0.2310020605792939,C
2024-09-06,0.3179290791676095,0.4623684984599688,0.21970242237242182,C
2024-09-09,0.3147516335563019,0.46305931564096303,0.22218905080273502,C
2024-09-10,0.3166874342202637,0.4575595997831774,0.22575296599655895,C
2024-09-11,0.31047263570521116,0.44716967795839335,0.24235768633639554,C
2024-09-12,0.3083399617226226,0.44917628443228663,0.24248375384509072,C
2024-09-13,0.299370691378436,0.4623633252917693,0.2382659833297946,C
2024-09-18,0.2953176749115937,0.462945831090716,0.2417364939976902,C
2024-09-19,0.29966826976091376,0.4567918286596586,0.24353990157942773,C
2024-09-20,0.3065946890310961,0.4497821422703775,0.24362316869852635,C
2024-09-23,0.3073932104689735,0.4665637551214968,0.22604303440952966,C
2024-09-24,0.3111104954066666,0.47201733898130704,0.2168721656120264,C
2024-09-25,0.31748789136838385,0.4788306227084174,0.20368148592319874,C
2024-09-26,0.3160234748651014,0.4701792587128283,0.2137972664220702,C
2024-09-27,0.3177552006871813,0.4789139528181646,0.2033308464946542,C
2024-09-30,0.3120527142636115,0.47635776293623916,0.21158952280014948,C
2024-10-08,0.322535523701023,0.42863402556753133,0.24883045073144563,C
2024-10-09,0.34038169787037587,0.393189786568843,0.26642851556078107,C
2024-10-10,0.33648937112957245,0.41876369699633376,0.24474693187409388,C
2024-10-11,0.33567666145894304,0.433607819164377,0.23071551937667992,C
2024-10-14,0.31988996228330685,0.4746409591687508,0.20546907854794227,C
2024-10-15,0.334484769067934,0.471054058240297,0.19446117269176894,C
2024-10-16,0.32780761545672304,0.4709026934084118,0.2012896911348652,C
2024-10-17,0.31328030488926595,0.46736414249174696,0.21935555261898712,C
2024-10-18,0.3128997163596907,0.4601937204781709,0.2269065631621384,C
2024-10-21,0.32950957127487646,0.41193148636559007,0.25855894235953336,C
2024-10-22,0.3372126148241145,0.37534172289766093,0.2874456622782246,C
2024-10-23,0.3371882523115337,0.3986818000879059,0.2641299476005604,C
2024-10-24,0.3300086512258747,0.4225530808538519,0.2474382679202733,C
2024-10-25,0.3286016713539925,0.4362307272662466,0.23516760137976087,C
2024-10-28,0.3271697263060629,0.4129409327149332,0.2598893409790039,C
2024-10-29,0.31928550777194653,0.4301355670459918,0.2505789251820617,C
2024-10-30,0.3245787391200078,0.44488427489755095,0.23053698598244146,C
2024-10-31,0.30847767877847515,0.46124350544435566,0.23027881577716927,C
2024-11-01,0.30823606106931956,0.4628602639010737,0.2289036750296067,C
2024-11-04,0.2958090934047954,0.4838884227639751,0.2203024838312295,C
2024-11-05,0.31001108218307116,0.4850252670202786,0.20496365079665013,C
2024-11-06,0.3334022583480271,0.45102374327757366,0.21557399837439922,C
2024-11-07,0.33669767368947073,0.427514724301174,0.23578760200935533,C
2024-11-08,0.3300121582012189,0.45812659931928135,0.2118612424794999,C
2024-11-11,0.331672459199509,0.4506536779681308,0.2176738628323603,C
2024-11-12,0.36762700095793344,0.40045759687487753,0.2319154021671891,C
2024-11-13,0.3475726706288129,0.43218977394048597,0.22023755543070112,C
2024-11-14,0.35216909880835096,0.42536425335078104,0.222466647840868,C
2024-11-15,0.331113903056341,0.4565514126029244,0.2123346843407346,C
2024-11-18,0.314227369704776,0.4798212331390836,0.20595139715614044,C
2024-11-19,0.30805166734772693,0.4871984965614078,0.20474983609086525,C
2024-11-20,0.3136691793630176,0.4846263569233578,0.2017044637136247,C
2024-11-21,0.31952896495394395,0.4698763690762201,0.210594665969836,C
2024-11-22,0.31207518904038734,0.4678243185210481,0.22010049243856455,C
2024-11-25,0.30371231758188144,0.48370052264826924,0.21258715976984932,C
2024-11-26,0.30795179040684484,0.4627666742956237,0.22928153529753137,C
2024-11-27,0.30405763053925694,0.461730256242019,0.23421211321872418,C
2024-11-28,0.30738402889601446,0.46499762408464507,0.2276183470193405,C
2024-11-29,0.31266792901883717,0.45811888063981604,0.22921319034134677,C
2024-12-02,0.32122980567191783,0.46223569275059656,0.2165345015774857,C
2024-12-03,0.3381608476498386,0.4642667303862023,0.19757242196395902,C
2024-12-04,0.33217980794863755,0.46984966133984424,0.1979705307115181,C
2024-12-05,0.3450068311297469,0.48007508258366116,0.17491808628659195,C
2024-12-06,0.3438532710976787,0.47763966770719335,0.17850706119512783,C
2024-12-09,0.34041050869583833,0.48385982616553874,0.17572966513862295,C
2024-12-10,0.3305079621200473,0.492498256876082,0.17699378100387073,C
2024-12-11,0.3326193041619931,0.4757480281492462,0.19163266768876078,C
2024-12-12,0.33364069089146287,0.4765657107441175,0.1897935983644197,C
2024-12-13,0.33369053021497946,0.5093183365713726,0.15699113321364797,C
2024-12-16,0.32232992925883774,0.5163306267572866,0.16133944398387556,C
2024-12-17,0.32281518898422273,0.5099311607166352,0.167253650299142,C
2024-12-18,0.32939485880850194,0.5165680291011656,0.15403711209033238,C
2024-12-19,0.3276760453991021,0.5023098117781735,0.17001414282272437,C
2024-12-20,0.3185859686509491,0.4994896214053335,0.1819244099437175,C
2024-12-23,0.31958312175035075,0.4824653642992312,0.197951513950418,C
2024-12-24,0.31455061236246534,0.4895911261139314,0.19585826152360336,C
2024-12-25,0.3107372398699694,0.48102856060644855,0.20823419952358208,C
2024-12-26,0.3073307767124597,0.47646752523529035,0.21620169805225006,C
2024-12-27,0.2939497218941521,0.4715398775579049,0.234510400547943,C
2024-12-30,0.28986383343395394,0.4930661866189132,0.21706997994713276,C
2024-12-31,0.2791950312747246,0.5190699041743808,0.2017350645508946,C
2025-01-02,0.26066593831737433,0.5518369511899064,0.18749711049271928,C
2025-01-03,0.26540717717280726,0.5296822185350584,0.20491060429213423,C
2025-01-06,0.2595069743393169,0.5305482547845224,0.20994477087616073,C
2025-01-07,0.2692006427479727,0.4984322281175195,0.23236712913450794,C
2025-01-08,0.26303392944819987,0.4994181897903689,0.23754788076143132,C
2025-01-09,0.2620806384256816,0.5013271162895927,0.23659224528472578,C
2025-01-10,0.2719193119682031,0.4908036539892469,0.23727703404255004,C
2025-01-13,0.2630089731635049,0.5089333486402047,0.2280576781962904,C
2025-01-14,0.2529634978372278,0.5339384070541341,0.2130980951086382,C
2025-01-15,0.2509586667176286,0.5447281741720394,0.204313159110332,C
2025-01-16,0.254196184407273,0.5344152447502802,0.21138857084244683,C
2025-01-17,0.26731325149486057,0.5310138862950697,0.20167286221006966,C
2025-01-20,0.268743175214955,0.5202485574233143,0.21100826736173062,C
2025-01-21,0.27170031570128145,0.523582342409377,0.20471734188934151,C
2025-01-22,0.27694898652220706,0.5128566387115792,0.2101943747662138,C
2025-01-23,0.27325840188404044,0.506170721685019,0.22057087643094064,C
2025-01-24,0.28202240334593404,0.5024083803941191,0.21556921625994693,C
2025-01-27,0.28323371730311475,0.5039388209570363,0.21282746173984898,C
2025-02-05,0.2783217530797275,0.4960949491789592,0.22558329774131336,C
2025-02-06,0.2734168746793143,0.501914997947974,0.22466812737271166,C
2025-02-07,0.26955307664402367,0.5043872118381215,0.22605971151785492,C
2025-02-10,0.2775163767317389,0.509613745830998,0.21286987743726304,C
2025-02-11,0.28253603893433604,0.4913203498381922,0.22614361122747173,C
2025-02-12,0.27730203540085135,0.5041230709561562,0.21857489364299237,C
2025-02-13,0.2744497153802451,0.5136393457706191,0.21191093884913584,C
2025-02-14,0.2899440326417803,0.5054442350080873,0.20461173235013227,C
2025-02-17,0.2924395949965736,0.49687886492517963,0.21068154007824685,C
2025-02-18,0.3023495658890983,0.4803986529375602,0.2172517811733416,C
2025-02-19,0.30664070708803504,0.48513775428678657,0.20822153862517853,C
2025-02-20,0.31258180072813163,0.4602709634069889,0.22714723586487937,C
2025-02-21,0.3039895877066326,0.4631370747126009,0.23287333758076653,C
2025-02-24,0.2999433082873772,0.4630231052328462,0.2370335864797766,C
2025-02-25,0.3035356764919734,0.46061813002176016,0.23584619348626645,C
2025-02-26,0.31166296762555035,0.44551731542546913,0.24281971694898064,C
2025-02-27,0.3167374689132696,0.45902047523047507,0.22424205585625542,C
2025-02-28,0.31654696853295783,0.46115339586724097,0.22229963559980118,C
2025-03-03,0.31480889832972525,0.48736819242966717,0.19782290924060755,C
2025-03-04,0.3135496969904657,0.48712697082724654,0.1993233321822877,C
2025-03-05,0.31493861990268257,0.4793279332699067,0.20573344682741082,C
2025-03-06,0.30896960114540933,0.474429439600054,0.2166009592545367,C
2025-03-07,0.3077463191592598,0.4704415536630828,0.22181212717765747,C
2025-03-10,0.3058979109944528,0.4630685686446295,0.23103352036091782,C
2025-03-11,0.295962056214264,0.47605522373150355,0.22798272005423237,C
2025-03-12,0.294997339032881,0.4750743667876819,0.22992829417943705,C
2025-03-13,0.303920923399299,0.47276686894924147,0.2233122076514595,C
2025-03-14,0.3025875293447615,0.4773085298224624,0.2201039408327759,C
2025-03-17,0.29633865080137145,0.4887104259798044,0.21495092321882428,C
2025-03-18,0.29536100535707005,0.4838076254664232,0.22083136917650678,C
2025-03-19,0.2998406406938394,0.4859675283942094,0.21419183091195113,C
2025-03-20,0.3080919908325745,0.49021270931224276,0.20169529985518275,C
2025-03-21,0.31212753023879086,0.46725201009323675,0.22062045966797242,C
2025-03-24,0.30427710903636396,0.4715853715455195,0.2241375194181167,C
2025-03-25,0.3077938994386912,0.4781296942909442,0.2140764062703647,C
2025-03-26,0.304601846601091,0.49150374461441965,0.20389440878448942,C
2025-03-27,0.29992250480503757,0.48206876075660854,0.218008734438354,C
2025-03-28,0.30037066292334386,0.4833857309614089,0.2162436061152472,C
2025-03-31,0.2995410696809552,0.48397562260367105,0.21648330771537366,C
