Return_Window,Bartime,Group,Sharpe_Ratio,Max_Drawdown,Annualized_Return
Ret_60,1970-01-01 09:59:00,group_0,1.2384603017317912,-0.11203198294863537,0.1226685915146336
Ret_60,1970-01-01 09:59:00,group_1,0.8964070971682602,-0.11700550932430342,0.0826083637384254
Ret_60,1970-01-01 09:59:00,group_2,0.6850268808542741,-0.12402748204907754,0.06394583558530428
Ret_60,1970-01-01 09:59:00,group_3,0.7651610638294797,-0.1283646875655724,0.07388684418481313
Ret_60,1970-01-01 09:59:00,group_4,1.0898434835143185,-0.12134287668634924,0.11696644651839218
Ret_60,1970-01-01 09:59:00,group_HML,-0.15791812650232162,-0.0599194430761687,-0.005702144996241398
Ret_60,1970-01-01 10:29:00,group_0,1.479007853939374,-0.09975808637899464,0.15057860367124987
Ret_60,1970-01-01 10:29:00,group_1,1.310401444728247,-0.09438056530403272,0.11942827962773046
Ret_60,1970-01-01 10:29:00,group_2,1.1213490297926327,-0.0928998142063926,0.10307135935197932
Ret_60,1970-01-01 10:29:00,group_3,1.2430987702924823,-0.10647775423667294,0.11870267160025723
Ret_60,1970-01-01 10:29:00,group_4,1.5238297470592752,-0.08899488396242994,0.16342739735774495
Ret_60,1970-01-01 10:29:00,group_HML,0.4327946918618974,-0.027279519875837432,0.012848793686494966
Ret_60,1970-01-01 10:59:00,group_0,0.1856544096996642,-0.1246869519981636,0.018731742379465482
Ret_60,1970-01-01 10:59:00,group_1,0.29469232263590334,-0.11321078301508358,0.02812116743942477
Ret_60,1970-01-01 10:59:00,group_2,0.2367344549123865,-0.11219200183632283,0.02274451666015919
Ret_60,1970-01-01 10:59:00,group_3,0.22439721940914098,-0.1180167162880168,0.02236215394717515
Ret_60,1970-01-01 10:59:00,group_4,0.4247216549418384,-0.12256621686348701,0.04647285927614102
Ret_60,1970-01-01 10:59:00,group_HML,0.937577093212801,-0.03546914461356343,0.027741116896675494
Ret_60,1970-01-01 11:29:00,group_0,-1.7222448814433473,-0.38341650734533395,-0.17269069888785024
Ret_60,1970-01-01 11:29:00,group_1,-1.2895477851320352,-0.29136394631402995,-0.12017745444374488
Ret_60,1970-01-01 11:29:00,group_2,-1.2535186627773713,-0.27931789519443695,-0.11686011091459356
Ret_60,1970-01-01 11:29:00,group_3,-1.271701724328911,-0.2943268166549935,-0.12310210020657045
Ret_60,1970-01-01 11:29:00,group_4,-1.2786789664862035,-0.33813255110791496,-0.13570328470178827
Ret_60,1970-01-01 11:29:00,group_HML,1.404063142112114,-0.021909601759973918,0.03698741418606171
Ret_60,1970-01-01 13:29:00,group_0,-0.9212575593406492,-0.2600562234936714,-0.08923980773956668
Ret_60,1970-01-01 13:29:00,group_1,-0.8552619965812447,-0.23013889023749545,-0.07453665159373112
Ret_60,1970-01-01 13:29:00,group_2,-0.8850068297634042,-0.23862338139766803,-0.0768643839057226
Ret_60,1970-01-01 13:29:00,group_3,-0.9913242557065538,-0.2706281390868249,-0.0886823088663932
Ret_60,1970-01-01 13:29:00,group_4,-0.9838051808668611,-0.2725154020125603,-0.09643156351844524
Ret_60,1970-01-01 13:29:00,group_HML,-0.3471528085840741,-0.037083762433962164,-0.007191755778878605
Ret_60,1970-01-01 13:59:00,group_0,-0.9719578923819655,-0.3565394679220023,-0.16867373471637917
Ret_60,1970-01-01 13:59:00,group_1,0.19448349967961384,-0.2208081482493084,0.030679251134040336
Ret_60,1970-01-01 13:59:00,group_2,0.5191131954987939,-0.18135757997175317,0.0834782660499042
Ret_60,1970-01-01 13:59:00,group_3,0.5800607574304764,-0.2147201729160758,0.09599838948588753
Ret_60,1970-01-01 13:59:00,group_4,0.2849985837908428,-0.25092923921408583,0.05172455902651201
Ret_60,1970-01-01 13:59:00,group_HML,4.1404926652332845,-0.016154455056216266,0.2203982937428911
Ret_60,1970-01-01 14:29:00,group_0,-0.14054694145250468,-0.2639974305008338,-0.027720875750303787
Ret_60,1970-01-01 14:29:00,group_1,0.7211499669069061,-0.1809638566850088,0.1257530686908559
Ret_60,1970-01-01 14:29:00,group_2,0.9334292651115041,-0.14782100966217615,0.16635574501470252
Ret_60,1970-01-01 14:29:00,group_3,1.0698562101528817,-0.15072941934459372,0.2014442271903506
Ret_60,1970-01-01 14:29:00,group_4,0.8272449833068076,-0.18076684966917933,0.17129492543660932
Ret_60,1970-01-01 14:29:00,group_HML,2.665166809239137,-0.030780489291017843,0.19901580118691278
Ret_90,1970-01-01 09:59:00,group_0,1.7453173565668612,-0.11963545316074431,0.22498336715585995
Ret_90,1970-01-01 09:59:00,group_1,1.3631880217941386,-0.11424458678766602,0.15959889578817885
Ret_90,1970-01-01 09:59:00,group_2,1.0779812277232423,-0.12470519396635438,0.12798536579297992
Ret_90,1970-01-01 09:59:00,group_3,1.1609053842457644,-0.13096712045300873,0.14208887053883418
Ret_90,1970-01-01 09:59:00,group_4,1.5033340896193752,-0.1233393800540673,0.20624856775394632
Ret_90,1970-01-01 09:59:00,group_HML,-0.46067376578284636,-0.07076275822113476,-0.01873479940191371
Ret_90,1970-01-01 10:29:00,group_0,0.5243446903651039,-0.14983490569220237,0.06349864102486324
Ret_90,1970-01-01 10:29:00,group_1,0.6018697069467671,-0.1368309375014829,0.06687416663237904
Ret_90,1970-01-01 10:29:00,group_2,0.5268575784262602,-0.13613769882694393,0.05913847802905943
Ret_90,1970-01-01 10:29:00,group_3,0.6106171905696354,-0.1357150277128536,0.07071438297945742
Ret_90,1970-01-01 10:29:00,group_4,0.9146817993596552,-0.1474332815701308,0.11777514080360689
Ret_90,1970-01-01 10:29:00,group_HML,1.5239546882043729,-0.033136153007119806,0.05427649977874371
Ret_90,1970-01-01 10:59:00,group_0,-0.5620709937652101,-0.2612703090615457,-0.0705803914930454
