Date,bottom10_gross,top10_gross,long_short_gross,bottom10_net,top10_net,long_short_net,csi300
2025-05-28,-0.006337201442102723,-0.005711308467684693,-0.0006258929744180288,-0.006537201442102723,-0.005891308467684693,-0.0010058929744180285,-0.0008231240693037378
2025-05-29,-0.006600518894155696,0.003667687820957764,-0.010268206715113462,-0.006760518894155696,0.003487687820957764,-0.010608206715113462,0.005855530391425834
2025-05-30,0.011622514922558697,0.0058278690015026845,0.005794645921056011,0.011462514922558696,0.005647869001502685,0.005454645921056011,-0.004785938517424926
2025-06-03,-0.007000304095686619,-0.004686512897302832,-0.002313791198383789,-0.007200304095686619,-0.004866512897302832,-0.0026937911983837886,0.0030676269245482057
2025-06-04,0.008993031597168407,0.008549045247012934,0.0004439863501554741,0.008793031597168407,0.008389045247012934,8.398635015547431e-05,0.004343235940006185
2025-06-05,0.008499002797538475,0.00981146209047701,-0.0013124592929385347,0.008299002797538474,0.009611462090477009,-0.0017124592929385345,0.002277949253231437
2025-06-06,0.0031710537200328255,0.003450911940015172,-0.00027985821998234984,0.0029710537200328254,0.003270911940015172,-0.0006598582199823498,-0.0009210957304880418
2025-06-09,-0.006269823474126201,-0.0048981414158276015,-0.001371682058298596,-0.0064698234741262005,-0.005058141415827602,-0.0017316820582985958,0.0029070330980449643
2025-06-10,0.006223843984926331,0.007970735540438362,-0.0017468915555120337,0.006043843984926332,0.007790735540438362,-0.0021068915555120336,-0.005091235023245155
2025-06-11,-0.0034179957620533137,-0.00371084080586411,0.0002928450438107967,-0.0035979957620533138,-0.0038708408058641098,-4.715495618920322e-05,0.007543723327272378
2025-06-12,-0.001598079506085353,-0.00426606795049908,0.0026679884444137277,-0.0017980795060853528,-0.004466067950499079,0.002267988444413728,-0.0006229097475155543
2025-06-13,-0.0010197671887410206,0.011197181555743835,-0.012216948744484857,-0.0012197671887410205,0.010997181555743835,-0.012616948744484857,-0.007198244118646335
2025-06-16,-0.011017850608353837,-0.00714605913937541,-0.0038717914689784276,-0.011197850608353837,-0.00730605913937541,-0.004211791468978428,0.002487693256285839
2025-06-17,-0.00039494729026937406,0.003980951158523483,-0.004375898448792858,-0.0005949472902693739,0.0037809511585234832,-0.0047758984487928586,-0.0008819516551094031
2025-06-18,-0.003067298765456566,-0.0027191438230795405,-0.0003481549423770262,-0.003247298765456566,-0.0028991438230795406,-0.0007081549423770259,0.0011864989125354164
2025-06-19,-0.0008729300563470631,0.004381641248254966,-0.005254571304602027,-0.001072930056347063,0.004181641248254967,-0.005654571304602027,-0.008227055543231554
2025-06-20,-0.009980063677495836,-0.007587131264068575,-0.0023929324134272624,-0.010180063677495837,-0.007787131264068574,-0.002792932413427262,0.0009245422018608895
2025-06-23,-0.00857698514119976,-0.012235299568098459,0.003658314426898698,-0.008776985141199761,-0.012415299568098458,0.0032783144268986983,0.002926524815408671
2025-06-24,0.010986499101201027,0.006272919147985311,0.004713579953215719,0.010786499101201026,0.006072919147985311,0.004313579953215719,0.011957951441788905
2025-06-25,0.01385270660361058,0.012348815864457087,0.0015038907391534979,0.013652706603610579,0.012148815864457086,0.0011038907391534981,0.014352333286424601
2025-06-26,0.016568226529723933,0.01679090687540594,-0.00022268034568200326,0.016388226529723934,0.01661090687540594,-0.0005826803456820031,-0.00354708716738128
2025-06-27,0.001367572869755397,-0.0039777342796123855,0.005345307149367782,0.0011675728697553972,-0.004177734279612385,0.0049453071493677815,-0.006148398405025679
2025-06-30,0.0014321928815502047,-0.0058897310976956906,0.007321923979245895,0.0012521928815502049,-0.00606973109769569,0.0069619239792458945,0.003651755342974017
2025-07-01,0.007194568703106317,0.0009194891771907576,0.00627507952591556,0.006994568703106318,0.0007194891771907575,0.005875079525915559,0.0016978571391006447
2025-07-02,0.0056413266806924055,-0.0069968690992763365,0.012638195779968749,0.005441326680692406,-0.007176869099276337,0.012258195779968749,0.00023407448889889437
2025-07-03,0.0019695724729628748,0.0003393051402162657,0.0016302673327466086,0.001789572472962875,0.0001393051402162658,0.0012502673327466087,0.006182720125535335
2025-07-04,0.008135332765274714,0.01065060057027941,-0.0025152678050046956,0.007935332765274713,0.01045060057027941,-0.0029152678050046953,0.003562388906882541
2025-07-07,0.00393816577717086,-0.007328773006944658,0.011266938784115514,0.00373816577717086,-0.007508773006944657,0.010886938784115514,-0.004276225568990322
2025-07-08,-0.00630742035930935,-0.006676336186292514,0.0003689158269831647,-0.0065074203593093495,-0.006856336186292514,-1.1084173016835143e-05,0.008392593859549047
2025-07-09,0.031178264926561595,0.024795224746145657,0.006383040180415939,0.030998264926561596,0.024615224746145657,0.006023040180415939,-0.001763707246055457
2025-07-10,-0.0031545907688495765,0.0004319886287246265,-0.0035865793975742044,-0.0033345907688495766,0.0002519886287246266,-0.003946579397574204,0.004665956105733837
2025-07-11,-0.003762654652768745,0.004095575611419272,-0.007858230264188018,-0.003942654652768745,0.0038955756114192716,-0.008238230264188018,0.0011926860393338679
2025-07-14,-0.0005654678541399311,-0.007922415409677376,0.007356947555537447,-0.0007254678541399311,-0.008122415409677376,0.006996947555537447,0.0007125622726074088
